,0
865,2151699.4765607785
866,2128958.3833925454
867,2144095.9079180355
868,2130566.5108218654
869,2150816.8758218526
870,2172029.6884092405
871,2185788.567684719
872,2200111.257821005
873,2192989.920710719
874,2149375.1815442573
875,2162507.701095711
876,2128747.3636914
877,2144006.917643011
878,2161433.561351282
879,2153050.0160010434
880,2207196.044053278
881,2220405.355396919
882,2243044.381012016
883,2245330.670044992
884,2224881.517341752
885,2232408.415228779
886,2217749.1208019867
887,2214968.7516793874
888,2205856.555675005
889,2232652.808340506
890,2239384.7767023603
891,2250380.569623665
892,2259426.9799066153
893,2275662.3972282666
894,2256278.8832301167
895,2241801.380126695
896,2217480.008396347
897,2183975.6484380765
898,2204446.4036042057
899,2235400.3244878543
900,2254887.3302515894
901,2274230.1406610464
902,2275351.8122560284
903,2263279.730143723
904,2299814.6600408363
905,2310574.0828509484
906,2315401.618778185
907,2312893.7264098176
908,2316331.614573045
909,2328081.9655710054
910,2333178.70307993
911,2338555.5354726524
912,2333285.629085455
913,2350779.616933709
914,2367219.9788882807
915,2387136.2922521313
916,2363253.0081105046
917,2383158.885483319
918,2365575.733312707
919,2380489.6258117952
920,2395198.4138098373
921,2398053.780749742
922,2392867.5996932965
923,2366641.5718329833
924,2379877.6796068116
925,2383941.4239430176
926,2375071.829246982
927,2409854.722514798
928,2421167.5422814367
929,2392485.1806997405
930,2392643.73939996
931,2409076.6380471997
932,2453458.295496786
933,2472543.2126954156
934,2482775.377156753
935,2482649.693789768
936,2481446.5239502178
937,2485318.312258504
938,2488131.1319048735
939,2473666.678468343
940,2439850.5502415174
941,2422321.8210822823
942,2452046.277423418
943,2426544.5927349697
944,2422789.6845979467
945,2430110.326483791
946,2436723.095658824
947,2440967.632950412
948,2424170.0192950824
949,2402327.2513366775
950,2390145.7474014964
951,2358481.1140860002
952,2342379.4293091814
953,2336162.772126629
954,2351481.769596676
955,2387194.4282221776
956,2394656.621847717
957,2382622.064000962
958,2331663.8374433103
959,2358692.6206441224
960,2297941.833639857
961,2307875.727512268
962,2305584.1465798123
963,2303904.7367844507
964,2283916.5381956054
965,2297534.515871809
966,2242985.1186155044
967,2257855.20727736
